AOA,Beta,d_e,d_a,d_r,p,q,r,Cx,Cy,Cz,Cl,Cm,Cn
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 9.3183622799412905e-02, 3.1503852200301624e-01, 1.1154746446985677e+00, 1.7841381853776861e-01, 4.6726246771263580e-01,-1.5109658268544707e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 1.0622087760974952e-01, 3.6562161668687621e-01, 1.0851308199347265e+00, 1.7235870755226523e-01, 4.4588013581488434e-01,-1.7567573844745454e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 1.3109449950650257e-01, 3.9208800480548434e-01, 1.2173603109661930e+00, 1.8137208345439423e-01, 6.2319058324936216e-01,-1.8660723632137544e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 1.4806971661106669e-01, 4.4695364984214936e-01, 1.1936920714539598e+00, 1.7562220892939820e-01, 6.0846119326665504e-01,-2.1288166875727219e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01,-3.8399999999999999e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 1.2193068176525150e-01, 4.1880926318928474e-01, 1.0600585488262206e+00, 1.6721084383099627e-01, 4.2953366723252506e-01,-2.0144953764632897e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00,-8.7300000000000000e-01, 9.9192832372759124e-02, 2.6876699943292204e-01, 1.3308241953269404e+00, 6.8344655938760712e-02, 7.4570753884052332e-01,-1.1830615873121331e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00, 0.0000000000000000e+00, 1.0823202555856680e-01, 3.1809510774250804e-01, 1.3109741982084282e+00, 6.0804742264698342e-02, 7.3166063272265869e-01,-1.4195880169379740e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00,-1.1599999999999999e+00, 8.7300000000000000e-01, 1.2040680584277438e-01, 3.6947275632790250e-01, 1.2958748504296229e+00, 5.4058440440102148e-02, 7.2196045443537327e-01,-1.6653682500959210e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00, 0.0000000000000000e+00, 5.9392758855400497e-02, 2.6675051308163400e-01, 1.0549748198677411e+00, 4.8319425023479419e-02, 3.8648448833099897e-01,-1.2224851425945120e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00, 8.7300000000000000e-01, 7.1580925300151269e-02, 3.1300833269217021e-01, 1.0454147414593744e+00, 4.2463878673810060e-02, 3.8297746789915132e-01,-1.4473047071188108e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00,-8.7300000000000000e-01, 6.8129130886196709e-02, 2.4465679331072537e-01, 1.1911415610549183e+00, 6.1185260441598888e-02, 5.5955522262542234e-01,-1.0899790655347336e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 7.8571060682046931e-02, 2.9113125819971514e-01, 1.1764363464324519e+00, 5.4160212217268189e-02, 5.5118853928345846e-01,-1.3145486443939650e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 0.0000000000000000e+00, 8.7300000000000000e-01, 9.0769487205717300e-02, 3.3999011196390549e-01, 1.1634145837407335e+00, 4.7836719890270024e-02, 5.4379663052588134e-01,-1.5499852801095079e-01
-1.5000000000000000e+01,-1.5000000000000000e+01,-2.5000000000000000e+01,-2.1500000000000000e+01, 3.0000000000000000e+01, 0.0000000000000000e+00, 1.1599999999999999e+00,-8.7300000000000000e-01, 4.8942890154293171e-02, 2.2286198922505349e-01, 1.0667518185198284e+00, 5.4909914218780845e-02, 3.9161318554038055e-01,-1.0084558937241096e-01
